Name,URL,SKU,Description,Category,Brand,Rating Value,Review Count,Price,Price Currency,Availability,Material,Review,Rate,Reviewer,Review Date,neg,neu,pos,compound,sentiment,pred
Herbal Sleep Tea | Relaxation Tea | Loose Leaf Tea | Deep Sleep Tea | Tea Gifts | Passionflower Tea | Caffeine Free Tea | Bedtime Tea,https://www.etsy.com/listing/1460562572/herbal-sleep-tea-relaxation-tea-loose,tensor(1460562572),"Are you having trouble falling asleep? Do you have difficulties in relaxing your mind and body and need something calming before bed? Or do you have unpleasant dreams? Slumber tea provides support for a good night&#39;s sleep by helping you to quiet your mind and promote relaxation, which leads to restful sleep and enhanced dreams, so that you can start the next day more refreshed. It works by gently calming the whole nervous system and easing tension in the body.*  As a clinical herbalist, I have carefully formulated and hand-crafted this blend so that it can benefit you if you have problems with sleep or dreams. It is recommended that you create a space and time at home where you have a moment to sip and enjoy this tea and allow it to help you drift off.*   Ingredients:  Passionflower (Passiflora incarnata)**, Linden (Tilia europaea)**, Mugwort (Artemisia vulgaris)**, Lavender (Lavandula officinalis)**, Chamomile (Matricaria recutita)**. ** Organic   Brewing Instructions: Stir the contents inside the bag with a spoon to ensure proper blending of the herbs. Add 1 Tbsp in 1 cup (8oz) of boiled water. Allow herbs to be completely immersed in the water. Cover and steep for 20-30 minutes. Strain and enjoy. Sweeten as needed.  For optimal benefit drink this tea one hour before bed. A little more or less may be used in one cup, depending on how poor your sleep quality is.     Size: 1.5 oz All Natural  -  Caffeine Free  -  Toxin Free   Note: Avoid using this tea if you are pregnant or attempt to become pregnant.  If you have any comments about this tea, please write me a message. I&#39;ll be happy to read and reply to your comments!   Disclaimer:  Please consult with your medical professional before use if you are pregnant, nursing, taking medication or have a serious health condition. SwedeeBird encourages you to do your own research for detailed information on the herbs you are using. You are welcome to contact me with any questions you may have.  *The information, claims and products on or through the SwedeeBird shop are for informational purposes only and have not been evaluated by the U.S. Food and Drug Administration FDA and are not approved to diagnose, treat, cure or prevent disease. It is not intended as a substitute for advice from your licensed physician or other health care professionals.",Home & Living < Food & Drink < Coffee & Tea < Tea,SwedeeBird,tensor(4.7000),tensor(28.),tensor(19.9500),USD,https://schema.org/InStock,Passionflower/Linden/Mugwort,One of my favorite teas from the collection Seriously makes me feel so nice and relaxed The high quality of the tea is very apparent with its beautiful presentation freshness and soothing fragrance Would recommend,tensor(5.),jennsok2177,2023-09-05,tensor(0.0350),tensor(0.5500),tensor(0.4150),tensor(0.9563),positive,positive
"Passion Flower Leaf Organic Dried Cut, Passiflora Incarnata, Bulk & Wholesale Herbs",https://www.etsy.com/listing/1502837456/passion-flower-leaf-organic-dried-cut,tensor(1502837456),"🜃 Type: Organic Passion flower Herb 🜃 Process: Dried Passion flower, cut & sifted. 🜃 Ships Fast from California  We carry a variety of sustainably sourced, wildcrafted & organic herbs that are suitable for herbal remedies, teas, culinary use, as well as product formulation. These are the same high quality herbs that we use in our herbal preparations. We are committed to offering herbs that are free from pesticides, chemicals, fertilizers or any harmful additives during the growing, harvesting and drying process.  Due to government regulations, we are prohibited from suggesting this product for any particular use. As we are unable to diagnose, treat, or prescribe supplements on this platform, we encourage you to do your own research on the many benefits of herbs.   *NOTE: This product has not been evaluated by the Food and Drug Administration to treat, cure, or prevent any disease. If you are pregnant or nursing or taking prescription medication, please consult your healthcare professional.","Home & Living < Food & Drink < Herbs, Spices & Seasonings < Herbs & Spices",ShopEarthFolk,tensor(4.8000),tensor(3441.),tensor(nan),USD,https://schema.org/InStock,Passion Flower/Passiflora Incarnata,First time ordering from this company good quality at a great price,tensor(5.),Jan Amsler,2024-06-13,tensor(0.),tensor(0.5880),tensor(0.4120),tensor(0.7906),positive,positive
"Organic Valerian Root, 1lb C/S | Tea | Valeriana Officinalis | Dried Herbs and Spices",https://www.etsy.com/listing/953560672/organic-valerian-root-1lb-cs-tea,tensor(953560672),"Type: Organic Valerian Root. Color: Brown.  Process: dry Valerian root finely cut, and sifted. Fragrance: odor similar to dirty socks.  Valerian is a flowering perennial distributed throughout Europe, the Americas, and northern Asia. Valerian root smells like ripe cheese when it is freshly dug from the ground, a characteristic that is fortunately reduced as the root dries.  A common tea or tincture of valerian root is sometimes made in combination with Hops, Skullcap, or Catnip.   Due to the presence of a chemical called actinidine, cats find the dried or fresh Valerian exciting as much as they doo Catnip.  DISCLAIMER IN ACCORDANCE WITH THE US FDA REGULATIONS  Our information on the use of this herb should never replace the care of a medical doctor. We are not medical professionals and are not claiming to diagnose, treat, cure, or prevent any disease. We are providing information for educational purposes only, based on common and publicly accessible historical information on the herb. You must be 18 years or older to purchase any herb from our store. We recommend that you educate yourself about the use of this herb before purchasing it.  IMPORTANT: the picture of the product in most cases are zoomed-in photos of the herb, the product description will be a near accurate description of the herb. Please expect variations in the color of the herb from batch to batch and some possible differences from the picture as this is a natural product that can change with each herb harvest.","Home & Living < Food & Drink < Herbs, Spices & Seasonings < Herbs & Spices",ShellyKongoHerbs,tensor(4.7000),tensor(7747.),tensor(nan),USD,https://schema.org/InStock,Organic Valerian Root/Valeriana Officinalis,It works great will buy again,tensor(5.),Gayle,2024-09-10,tensor(0.),tensor(1.),tensor(0.),tensor(0.),neutral,positive
"Organic Valerian Root, 1lb C/S | Tea | Valeriana Officinalis | Dried Herbs and Spices",https://www.etsy.com/listing/953560672/organic-valerian-root-1lb-cs-tea,tensor(953560672),"Type: Organic Valerian Root. Color: Brown.  Process: dry Valerian root finely cut, and sifted. Fragrance: odor similar to dirty socks.  Valerian is a flowering perennial distributed throughout Europe, the Americas, and northern Asia. Valerian root smells like ripe cheese when it is freshly dug from the ground, a characteristic that is fortunately reduced as the root dries.  A common tea or tincture of valerian root is sometimes made in combination with Hops, Skullcap, or Catnip.   Due to the presence of a chemical called actinidine, cats find the dried or fresh Valerian exciting as much as they doo Catnip.  DISCLAIMER IN ACCORDANCE WITH THE US FDA REGULATIONS  Our information on the use of this herb should never replace the care of a medical doctor. We are not medical professionals and are not claiming to diagnose, treat, cure, or prevent any disease. We are providing information for educational purposes only, based on common and publicly accessible historical information on the herb. You must be 18 years or older to purchase any herb from our store. We recommend that you educate yourself about the use of this herb before purchasing it.  IMPORTANT: the picture of the product in most cases are zoomed-in photos of the herb, the product description will be a near accurate description of the herb. Please expect variations in the color of the herb from batch to batch and some possible differences from the picture as this is a natural product that can change with each herb harvest.","Home & Living < Food & Drink < Herbs, Spices & Seasonings < Herbs & Spices",ShellyKongoHerbs,tensor(4.7000),tensor(7747.),tensor(nan),USD,https://schema.org/InStock,Organic Valerian Root/Valeriana Officinalis,It works great will buy again,tensor(4.),Gayle,2024-09-10,tensor(0.),tensor(1.),tensor(0.),tensor(0.),neutral,positive
"Organic Valerian Root, 1lb C/S | Tea | Valeriana Officinalis | Dried Herbs and Spices",https://www.etsy.com/listing/953560672/organic-valerian-root-1lb-cs-tea,tensor(953560672),"Type: Organic Valerian Root. Color: Brown.  Process: dry Valerian root finely cut, and sifted. Fragrance: odor similar to dirty socks.  Valerian is a flowering perennial distributed throughout Europe, the Americas, and northern Asia. Valerian root smells like ripe cheese when it is freshly dug from the ground, a characteristic that is fortunately reduced as the root dries.  A common tea or tincture of valerian root is sometimes made in combination with Hops, Skullcap, or Catnip.   Due to the presence of a chemical called actinidine, cats find the dried or fresh Valerian exciting as much as they doo Catnip.  DISCLAIMER IN ACCORDANCE WITH THE US FDA REGULATIONS  Our information on the use of this herb should never replace the care of a medical doctor. We are not medical professionals and are not claiming to diagnose, treat, cure, or prevent any disease. We are providing information for educational purposes only, based on common and publicly accessible historical information on the herb. You must be 18 years or older to purchase any herb from our store. We recommend that you educate yourself about the use of this herb before purchasing it.  IMPORTANT: the picture of the product in most cases are zoomed-in photos of the herb, the product description will be a near accurate description of the herb. Please expect variations in the color of the herb from batch to batch and some possible differences from the picture as this is a natural product that can change with each herb harvest.","Home & Living < Food & Drink < Herbs, Spices & Seasonings < Herbs & Spices",ShellyKongoHerbs,tensor(4.7000),tensor(7747.),tensor(nan),USD,https://schema.org/InStock,Organic Valerian Root/Valeriana Officinalis,Awesome stuff great for sleeping tea Super stoked bout it,tensor(5.),Christopher,2024-07-09,tensor(0.),tensor(0.3660),tensor(0.6340),tensor(0.9201),positive,positive
"Organic Valerian Root, 1lb C/S | Tea | Valeriana Officinalis | Dried Herbs and Spices",https://www.etsy.com/listing/953560672/organic-valerian-root-1lb-cs-tea,tensor(953560672),"Type: Organic Valerian Root. Color: Brown.  Process: dry Valerian root finely cut, and sifted. Fragrance: odor similar to dirty socks.  Valerian is a flowering perennial distributed throughout Europe, the Americas, and northern Asia. Valerian root smells like ripe cheese when it is freshly dug from the ground, a characteristic that is fortunately reduced as the root dries.  A common tea or tincture of valerian root is sometimes made in combination with Hops, Skullcap, or Catnip.   Due to the presence of a chemical called actinidine, cats find the dried or fresh Valerian exciting as much as they doo Catnip.  DISCLAIMER IN ACCORDANCE WITH THE US FDA REGULATIONS  Our information on the use of this herb should never replace the care of a medical doctor. We are not medical professionals and are not claiming to diagnose, treat, cure, or prevent any disease. We are providing information for educational purposes only, based on common and publicly accessible historical information on the herb. You must be 18 years or older to purchase any herb from our store. We recommend that you educate yourself about the use of this herb before purchasing it.  IMPORTANT: the picture of the product in most cases are zoomed-in photos of the herb, the product description will be a near accurate description of the herb. Please expect variations in the color of the herb from batch to batch and some possible differences from the picture as this is a natural product that can change with each herb harvest.","Home & Living < Food & Drink < Herbs, Spices & Seasonings < Herbs & Spices",ShellyKongoHerbs,tensor(4.7000),tensor(7747.),tensor(nan),USD,https://schema.org/InStock,Organic Valerian Root/Valeriana Officinalis,Will buy from you again,tensor(5.),Sheron Williams,2024-06-24,tensor(0.),tensor(1.),tensor(0.),tensor(0.),neutral,positive
Chamomile Loose Leaf Herbal Tea - Floral Tea - Chamomile Flowers - Caffeine Free - Tea Gift,https://www.etsy.com/listing/804090775/chamomile-loose-leaf-herbal-tea-floral,tensor(804090775),"Chamomile Loose Leaf Herbal Tea - This pure loose leaf chamomile herbal infusion is perfect for helping you unwind after a long day. With a light, floral flavour it&#39;s a lovely post dinner drink help ready your body for bed.   Ingredients: Pure chamomile flowers  If this is a gift and you would like it sent in plain packaging, please let me know in the notes.  Chai Wallah Margate was born after falling in love with the country that invented chai – India. With a desire to source high quality chai upon returning to the UK and finding it difficult, nigh on impossible, we decided that the only thing to do was create our own. This allowed the freedom to experiment with the flavours we loved and find different blends that reflect our every mood.   A delicious taste was not enough however, each blend has been individually hand crafted to be as aesthetically beautiful and fragrant as it is delicious; in order to create an all-round sensuous tea drinking experience. Having expanded from chai alone to stocking a variety of unusual blends and exotic twists on the classics, Chai Wallah Margate is perfect for the adventurous tea drinker.  All our blends are bagged in 100% biodegradable bags to ensure that the beautiful product we produce does not take too much from our earth. If you opt for our luxury pyramid teabags they are 100% compostable so you can rest assured, they put back into nature. Namaste.",Home & Living < Food & Drink < Coffee & Tea < Tea,Chaiwallahmargate,tensor(5.),tensor(1053.),tensor(nan),USD,https://schema.org/InStock,Chamomile/Camomile,Very speedy delivery Beautiful product,tensor(5.),Jill Duck,2024-08-15,tensor(0.),tensor(0.4900),tensor(0.5100),tensor(0.6326),positive,positive
Chamomile Loose Leaf Herbal Tea - Floral Tea - Chamomile Flowers - Caffeine Free - Tea Gift,https://www.etsy.com/listing/804090775/chamomile-loose-leaf-herbal-tea-floral,tensor(804090775),"Chamomile Loose Leaf Herbal Tea - This pure loose leaf chamomile herbal infusion is perfect for helping you unwind after a long day. With a light, floral flavour it&#39;s a lovely post dinner drink help ready your body for bed.   Ingredients: Pure chamomile flowers  If this is a gift and you would like it sent in plain packaging, please let me know in the notes.  Chai Wallah Margate was born after falling in love with the country that invented chai – India. With a desire to source high quality chai upon returning to the UK and finding it difficult, nigh on impossible, we decided that the only thing to do was create our own. This allowed the freedom to experiment with the flavours we loved and find different blends that reflect our every mood.   A delicious taste was not enough however, each blend has been individually hand crafted to be as aesthetically beautiful and fragrant as it is delicious; in order to create an all-round sensuous tea drinking experience. Having expanded from chai alone to stocking a variety of unusual blends and exotic twists on the classics, Chai Wallah Margate is perfect for the adventurous tea drinker.  All our blends are bagged in 100% biodegradable bags to ensure that the beautiful product we produce does not take too much from our earth. If you opt for our luxury pyramid teabags they are 100% compostable so you can rest assured, they put back into nature. Namaste.",Home & Living < Food & Drink < Coffee & Tea < Tea,Chaiwallahmargate,tensor(5.),tensor(1053.),tensor(nan),USD,https://schema.org/InStock,Chamomile/Camomile,Great quality tea eco packaging and quick delivery,tensor(5.),Sandi,2024-06-27,tensor(0.),tensor(0.6310),tensor(0.3690),tensor(0.6249),positive,positive
Chamomile Loose Leaf Herbal Tea - Floral Tea - Chamomile Flowers - Caffeine Free - Tea Gift,https://www.etsy.com/listing/804090775/chamomile-loose-leaf-herbal-tea-floral,tensor(804090775),"Chamomile Loose Leaf Herbal Tea - This pure loose leaf chamomile herbal infusion is perfect for helping you unwind after a long day. With a light, floral flavour it&#39;s a lovely post dinner drink help ready your body for bed.   Ingredients: Pure chamomile flowers  If this is a gift and you would like it sent in plain packaging, please let me know in the notes.  Chai Wallah Margate was born after falling in love with the country that invented chai – India. With a desire to source high quality chai upon returning to the UK and finding it difficult, nigh on impossible, we decided that the only thing to do was create our own. This allowed the freedom to experiment with the flavours we loved and find different blends that reflect our every mood.   A delicious taste was not enough however, each blend has been individually hand crafted to be as aesthetically beautiful and fragrant as it is delicious; in order to create an all-round sensuous tea drinking experience. Having expanded from chai alone to stocking a variety of unusual blends and exotic twists on the classics, Chai Wallah Margate is perfect for the adventurous tea drinker.  All our blends are bagged in 100% biodegradable bags to ensure that the beautiful product we produce does not take too much from our earth. If you opt for our luxury pyramid teabags they are 100% compostable so you can rest assured, they put back into nature. Namaste.",Home & Living < Food & Drink < Coffee & Tea < Tea,Chaiwallahmargate,tensor(5.),tensor(1053.),tensor(nan),USD,https://schema.org/InStock,Chamomile/Camomile,Lovely relaxing tea Have a cup most evenings,tensor(5.),Doreen Maynard,2024-03-26,tensor(0.),tensor(0.4620),tensor(0.5380),tensor(0.7906),positive,positive
Chamomile Loose Leaf Herbal Tea - Floral Tea - Chamomile Flowers - Caffeine Free - Tea Gift,https://www.etsy.com/listing/804090775/chamomile-loose-leaf-herbal-tea-floral,tensor(804090775),"Chamomile Loose Leaf Herbal Tea - This pure loose leaf chamomile herbal infusion is perfect for helping you unwind after a long day. With a light, floral flavour it&#39;s a lovely post dinner drink help ready your body for bed.   Ingredients: Pure chamomile flowers  If this is a gift and you would like it sent in plain packaging, please let me know in the notes.  Chai Wallah Margate was born after falling in love with the country that invented chai – India. With a desire to source high quality chai upon returning to the UK and finding it difficult, nigh on impossible, we decided that the only thing to do was create our own. This allowed the freedom to experiment with the flavours we loved and find different blends that reflect our every mood.   A delicious taste was not enough however, each blend has been individually hand crafted to be as aesthetically beautiful and fragrant as it is delicious; in order to create an all-round sensuous tea drinking experience. Having expanded from chai alone to stocking a variety of unusual blends and exotic twists on the classics, Chai Wallah Margate is perfect for the adventurous tea drinker.  All our blends are bagged in 100% biodegradable bags to ensure that the beautiful product we produce does not take too much from our earth. If you opt for our luxury pyramid teabags they are 100% compostable so you can rest assured, they put back into nature. Namaste.",Home & Living < Food & Drink < Coffee & Tea < Tea,Chaiwallahmargate,tensor(5.),tensor(1053.),tensor(nan),USD,https://schema.org/InStock,Chamomile/Camomile,Very nice fragrant tea beautifully packaged and thank you for the sample tea bag Really nice,tensor(5.),Doreen Maynard,2023-11-12,tensor(0.),tensor(0.4460),tensor(0.5540),tensor(0.9563),positive,positive
